hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²),Predicted_Consumption_kWh
0,1,10,2024,18.1,94,100,9.7,0.0,5.859020298605684
1,1,10,2024,18.4,93,100,10.6,0.0,5.859020298605684
2,1,10,2024,18.4,92,66,11.3,0.0,5.8625216732778656
3,1,10,2024,18.3,94,100,13.8,0.0,5.867504812747455
4,1,10,2024,18.4,94,51,14.8,0.0,5.871006187419637
5,1,10,2024,18.5,93,74,15.7,0.0,5.871006187419637
6,1,10,2024,18.5,92,84,11.1,0.0,5.8625216732778656
7,1,10,2024,18.2,93,100,14.2,0.0,5.867504812747455
8,1,10,2024,17.8,94,100,12.3,4.3,5.857713116750897
9,1,10,2024,18.3,92,89,16.3,0.0,5.871006187419637
10,1,10,2024,18.4,90,100,16.2,1.2,5.867504812747455
11,1,10,2024,19.1,86,96,20.0,25.2,5.8766396110665315
12,1,10,2024,19.9,84,100,19.8,18.8,5.872476622955989
13,1,10,2024,19.3,84,100,18.4,36.3,5.896694135659039
14,1,10,2024,19.9,79,100,23.2,16.5,5.888372386851061
15,1,10,2024,19.2,87,100,27.4,61.5,5.872018638005024
16,1,10,2024,19.3,88,83,26.8,1.8,5.8567519654343165
17,1,10,2024,18.9,90,94,25.9,23.9,5.853484623720981
18,1,10,2024,19.1,87,100,22.5,7.8,5.232437022325063
19,1,10,2024,17.6,93,100,18.2,0.0,5.217304500774218
20,1,10,2024,18.1,91,100,18.8,0.0,5.217304500774218
21,1,10,2024,18.1,92,100,17.9,0.0,5.2181121671693935
22,1,10,2024,18.2,92,91,15.9,0.0,5.221613541841575
23,1,10,2024,18.5,92,100,14.4,0.0,5.2134069783000525
0,2,10,2024,18.5,92,61,9.2,0.0,5.8625216732778656
1,2,10,2024,18.0,89,36,8.0,0.0,5.8625216732778656
2,2,10,2024,19.6,59,23,18.9,0.0,5.86640252672352
3,2,10,2024,20.6,59,27,23.3,0.0,5.86640252672352
4,2,10,2024,19.6,67,66,29.1,0.0,5.866105348141615
5,2,10,2024,19.5,71,62,22.2,0.0,5.86640252672352
6,2,10,2024,19.6,74,44,15.8,0.0,5.86640252672352
7,2,10,2024,17.5,84,28,19.1,0.0,5.874671746028741
8,2,10,2024,19.0,84,57,15.2,10.8,5.860714702625326
9,2,10,2024,20.4,85,100,18.6,75.9,5.868279183469066
10,2,10,2024,19.3,83,86,15.8,4.7,5.860714702625326
11,2,10,2024,20.1,76,100,17.6,109.6,5.8705655148340625
12,2,10,2024,20.4,66,60,26.4,96.3,5.866339381100461
13,2,10,2024,21.1,66,56,27.1,150.3,5.873210139621663
14,2,10,2024,21.2,62,36,27.1,306.1,5.87386430932261
15,2,10,2024,20.3,70,93,27.0,350.4,5.866993550801409
16,2,10,2024,20.9,62,26,26.7,189.1,5.873210139621663
17,2,10,2024,20.5,61,13,27.2,159.7,5.861812622873183
18,2,10,2024,19.6,65,29,24.3,50.0,5.241571289886581
19,2,10,2024,18.8,67,18,22.1,0.0,5.226362926092594
20,2,10,2024,18.4,69,21,21.4,0.0,5.226362926092594
21,2,10,2024,18.0,64,18,18.2,0.0,5.227170592487769
22,2,10,2024,18.1,60,17,16.9,0.0,5.227170592487769
23,2,10,2024,18.1,61,39,17.3,0.0,5.232241353575326
0,3,10,2024,18.0,62,20,15.9,0.0,5.880359570126935
1,3,10,2024,18.0,62,11,14.1,0.0,5.880359570126935
2,3,10,2024,17.4,63,28,10.5,0.0,5.875852457692999
3,3,10,2024,18.2,63,22,14.0,0.0,5.880359570126935
4,3,10,2024,17.6,67,48,11.5,0.0,5.871875055985164
5,3,10,2024,17.7,66,33,10.5,0.0,5.871875055985164
6,3,10,2024,17.4,67,34,10.9,0.0,5.871875055985164
7,3,10,2024,17.1,68,13,9.5,0.0,5.875852457692999
8,3,10,2024,17.7,68,3,10.5,36.9,5.880015445803542
9,3,10,2024,19.9,62,27,14.5,144.2,5.8705655148340625
10,3,10,2024,20.7,55,52,24.0,260.1,5.861349917215484
11,3,10,2024,20.9,55,60,24.5,269.6,5.868220675736685
12,3,10,2024,21.0,56,44,24.1,232.5,5.868220675736685
13,3,10,2024,21.6,52,100,22.8,200.6,5.867863684617642
14,3,10,2024,21.9,51,44,24.5,201.1,5.867566506035738
15,3,10,2024,22.6,49,23,22.6,308.2,5.86851785431859
16,3,10,2024,21.9,52,50,23.3,257.3,5.86851785431859
17,3,10,2024,21.2,54,2,20.3,98.1,5.871792639769339
