Sayac_ID,Guc_W,Hour,Day,Month,Year
1,1808.4,13,15,7,2024
1,3379.2,14,15,7,2024
1,2200.0,15,15,7,2024
1,521.4,16,15,7,2024
1,2571.8,12,22,7,2024
1,3014.0,13,22,7,2024
1,2321.0,14,22,7,2024
1,52.8,14,29,7,2024
1,68.2,18,1,8,2024
2,1623.6000000000001,13,15,7,2024
2,1797.4000000000003,14,15,7,2024
2,1397.0000000000002,15,15,7,2024
2,226.60000000000002,16,15,7,2024
2,1663.2000000000003,12,22,7,2024
2,1883.2000000000003,13,22,7,2024
2,1260.6000000000001,14,22,7,2024
2,46.2,14,29,7,2024
2,15.400000000000002,18,1,8,2024
3,10373.0,13,15,7,2024
3,77110.0,14,15,7,2024
3,44604.99999999999,15,15,7,2024
3,851.4,16,15,7,2024
3,4074.4,12,22,7,2024
3,4903.8,13,22,7,2024
3,13206.6,14,22,7,2024
3,33.0,14,29,7,2024
3,33.0,18,1,8,2024
4,521.4,13,15,7,2024
4,842.6,14,15,7,2024
4,448.8,15,15,7,2024
4,110.0,16,15,7,2024
4,657.8,12,22,7,2024
4,805.2,13,22,7,2024
4,547.8,14,22,7,2024
4,22.0,14,29,7,2024
4,4.4,18,1,8,2024
5,1267.2,13,15,7,2024
5,1958.0,14,15,7,2024
5,1306.8,15,15,7,2024
5,338.8,16,15,7,2024
5,1887.6,12,22,7,2024
5,2494.7999999999997,13,22,7,2024
5,1632.3999999999999,14,22,7,2024
5,26.4,14,29,7,2024
5,26.4,18,1,8,2024
6,0.0,13,15,7,2024
6,0.0,14,15,7,2024
6,0.0,15,15,7,2024
6,0.0,16,15,7,2024
6,0.0,12,22,7,2024
6,0.0,13,22,7,2024
6,0.0,14,22,7,2024
6,0.0,14,29,7,2024
6,0.0,18,1,8,2024
