hour,day,month,year,Consumption_kWh,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
0,9,7,2023,6.871122904575442,21.6,69,21,20.8,0.0
1,9,7,2023,6.712378291029838,21.4,66,30,22.0,0.0
2,9,7,2023,6.908866500847807,21.2,67,33,22.0,0.0
3,9,7,2023,7.12770183042464,20.4,62,49,21.9,0.0
4,9,7,2023,6.6884060226418,20.3,62,100,19.7,0.0
5,9,7,2023,6.688410127085339,20.7,70,100,22.7,0.0
6,9,7,2023,7.141747570199481,21.6,61,46,24.1,0.0
7,9,7,2023,6.938803048610861,22.3,54,77,25.9,35.6
8,9,7,2023,6.629575769838896,23.0,50,85,28.7,21.9
9,9,7,2023,6.882584377219125,23.1,50,48,30.8,12.9
10,9,7,2023,6.631089943119518,24.9,45,100,33.3,314.5
11,9,7,2023,6.630511927930069,24.7,47,100,32.7,237.7
12,9,7,2023,6.807434934214142,25.1,46,100,29.6,139.3
13,9,7,2023,6.268624305158184,25.7,44,100,29.3,213.7
14,9,7,2023,6.315714908194376,25.0,47,75,27.3,0.0
15,9,7,2023,6.606372484012391,24.2,50,32,28.8,400.8
16,9,7,2023,6.493736586239027,26.1,44,15,24.5,369.1
17,9,7,2023,6.825506199471452,26.9,40,31,27.1,310.9
18,9,7,2023,6.019938347442331,27.1,36,4,25.6,223.0
19,9,7,2023,5.893868440988811,26.5,39,5,21.1,142.7
20,9,7,2023,6.613356558553022,25.4,45,4,13.5,34.7
21,9,7,2023,6.190500291200999,23.3,54,10,6.6,0.0
22,9,7,2023,6.263826417494615,22.1,61,1,5.4,0.0
23,9,7,2023,5.8907573197692695,22.8,59,0,3.6,0.0
0,10,7,2023,6.576759472045082,22.4,61,1,1.3,0.0
1,10,7,2023,6.740585800603844,22.1,62,0,2.0,0.0
2,10,7,2023,6.425106758820802,19.2,74,0,5.6,0.0
3,10,7,2023,6.806779657762796,19.3,72,0,6.6,0.0
4,10,7,2023,6.562695480696676,18.1,75,1,6.1,0.0
5,10,7,2023,6.639931715728059,17.0,80,0,7.6,0.0
6,10,7,2023,6.562428500119029,16.7,82,0,7.1,0.0
7,10,7,2023,7.175924699303612,19.6,69,0,3.8,66.5
8,10,7,2023,6.709480846991895,21.9,59,0,2.7,213.2
9,10,7,2023,6.448427420937403,24.3,49,0,3.9,387.1
10,10,7,2023,6.918491381202175,26.5,43,1,5.1,544.7
11,10,7,2023,6.407644240683622,28.0,35,1,4.8,662.9
12,10,7,2023,6.765071051927566,28.6,33,5,5.8,750.6
13,10,7,2023,6.222937622206434,28.9,32,9,6.1,743.3
14,10,7,2023,6.38080864095177,29.0,32,1,5.1,712.8
15,10,7,2023,6.762070462143658,27.7,48,12,8.9,719.0
16,10,7,2023,6.89747179817523,28.7,41,8,5.4,529.4
17,10,7,2023,6.75569722347387,28.4,41,8,6.5,401.3
18,10,7,2023,6.183943082579318,27.8,45,2,7.5,298.1
19,10,7,2023,6.137579229279055,27.2,47,0,5.2,156.2
20,10,7,2023,5.843224655584521,26.2,51,3,2.9,35.1
21,10,7,2023,6.032894101077701,24.9,58,5,0.4,0.0
22,10,7,2023,6.097695460436431,24.2,62,5,2.1,0.0
23,10,7,2023,6.477135709731106,22.9,72,8,4.4,0.0
0,11,7,2023,6.764755483202128,21.7,82,0,5.4,0.0
1,11,7,2023,6.238090871969328,21.5,85,0,3.9,0.0
2,11,7,2023,6.759871903158711,22.0,83,0,3.4,0.0
3,11,7,2023,6.582580340705933,21.5,68,2,6.6,0.0
4,11,7,2023,6.509620410733524,19.9,72,5,8.7,0.0
5,11,7,2023,6.83176998302023,21.5,63,3,4.5,0.0
6,11,7,2023,6.936600791434,19.5,77,5,6.9,0.0
7,11,7,2023,6.911670940589062,22.4,75,2,11.2,58.3
8,11,7,2023,6.469046530004352,24.1,68,7,12.5,196.7
9,11,7,2023,6.601547816847209,25.1,66,0,15.6,342.7
10,11,7,2023,6.761666768660904,25.8,63,27,17.4,529.3
11,11,7,2023,6.922737192590603,26.6,58,42,17.3,640.6
12,11,7,2023,6.55905735134869,27.2,56,21,16.8,581.2
13,11,7,2023,6.632436166644059,28.3,53,10,17.1,634.0
14,11,7,2023,6.402267167308505,28.8,51,2,14.0,696.1
15,11,7,2023,6.3797992547898446,29.1,52,7,15.1,698.8
16,11,7,2023,6.881982366408563,29.4,51,4,15.6,555.5
17,11,7,2023,7.017910917952719,28.9,50,0,16.5,447.8
18,11,7,2023,6.160848380414929,28.4,49,2,15.8,307.2
