time,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irradiance(W/m²),solar_generation_kwh,wind_turbine_generation_kwh
2023-07-09 00:00:00,21.6,69,21,20.8,0.0,0.0,1.56
2023-07-09 01:00:00,21.4,66,30,22.0,0.0,0.0,1.65
2023-07-09 02:00:00,21.2,67,33,22.0,0.0,0.0,1.65
2023-07-09 03:00:00,20.4,62,49,21.9,0.0,0.0,1.64
2023-07-09 04:00:00,20.3,62,100,19.7,0.0,0.0,1.5
2023-07-09 05:00:00,20.7,70,100,22.7,0.0,0.0,1.7
2023-07-09 06:00:00,21.6,61,46,24.1,0.0,0.0,1.81
2023-07-09 07:00:00,22.3,54,77,25.9,35.6,0.13,1.94
2023-07-09 08:00:00,23.0,50,85,28.7,21.9,0.08,2.15
2023-07-09 09:00:00,23.1,50,48,30.8,12.9,0.05,2.31
2023-07-09 10:00:00,24.9,45,100,33.3,314.5,1.13,2.5
2023-07-09 11:00:00,24.7,47,100,32.7,237.7,0.85,2.45
2023-07-09 12:00:00,25.1,46,100,29.6,139.3,0.5,2.22
2023-07-09 13:00:00,25.7,44,100,29.3,213.7,0.77,2.2
2023-07-09 14:00:00,25.0,47,75,27.3,0.0,0.0,02.05
2023-07-09 15:00:00,24.2,50,32,28.8,400.8,1.43,2.16
2023-07-09 16:00:00,26.1,44,15,24.5,369.1,1.32,1.84
2023-07-09 17:00:00,26.9,40,31,27.1,310.9,1.12,02.03
2023-07-09 18:00:00,27.1,36,4,25.6,223.0,0.81,1.92
2023-07-09 19:00:00,26.5,39,5,21.1,142.7,0.52,1.58
2023-07-09 20:00:00,25.4,45,4,13.5,34.7,0.12,01.05
2023-07-09 21:00:00,23.3,54,10,6.6,0.0,0.0,0.0
2023-07-09 22:00:00,22.1,61,1,5.4,0.0,0.0,0.0
2023-07-09 23:00:00,22.8,59,0,3.6,0.0,0.0,0.0
2023-07-10 00:00:00,22.4,61,1,1.3,0.0,0.0,0.0
2023-07-10 01:00:00,22.1,62,0,2.0,0.0,0.0,0.0
2023-07-10 02:00:00,19.2,74,0,5.6,0.0,0.0,0.0
2023-07-10 03:00:00,19.3,72,0,6.6,0.0,0.0,0.0
2023-07-10 04:00:00,18.1,75,1,6.1,0.0,0.0,0.0
2023-07-10 05:00:00,17.0,80,0,7.6,0.0,0.0,0.0
2023-07-10 06:00:00,16.7,82,0,7.1,0.0,0.0,0.0
2023-07-10 07:00:00,19.6,69,0,3.8,66.5,0.23,0.0
2023-07-10 08:00:00,21.9,59,0,2.7,213.2,0.76,0.0
2023-07-10 09:00:00,24.3,49,0,3.9,387.1,1.39,0.0
2023-07-10 10:00:00,26.5,43,1,5.1,544.7,1.6,0.0
2023-07-10 11:00:00,28.0,35,1,4.8,662.9,1.6,0.0
2023-07-10 12:00:00,28.6,33,5,5.8,750.6,1.6,0.0
2023-07-10 13:00:00,28.9,32,9,6.1,743.3,1.6,0.0
2023-07-10 14:00:00,29.0,32,1,5.1,712.8,1.6,0.0
2023-07-10 15:00:00,27.7,48,12,8.9,719.0,1.6,0.0
2023-07-10 16:00:00,28.7,41,8,5.4,529.4,1.6,0.0
2023-07-10 17:00:00,28.4,41,8,6.5,401.3,1.43,0.0
2023-07-10 18:00:00,27.8,45,2,7.5,298.1,01.06,0.0
2023-07-10 19:00:00,27.2,47,0,5.2,156.2,0.55,0.0
2023-07-10 20:00:00,26.2,51,3,2.9,35.1,0.12,0.0
2023-07-10 21:00:00,24.9,58,5,0.4,0.0,0.0,0.0
2023-07-10 22:00:00,24.2,62,5,2.1,0.0,0.0,0.0
2023-07-10 23:00:00,22.9,72,8,4.4,0.0,0.0,0.0
2023-07-11 00:00:00,21.7,82,0,5.4,0.0,0.0,0.0
2023-07-11 01:00:00,21.5,85,0,3.9,0.0,0.0,0.0
2023-07-11 02:00:00,22.0,83,0,3.4,0.0,0.0,0.0
2023-07-11 03:00:00,21.5,68,2,6.6,0.0,0.0,0.0
2023-07-11 04:00:00,19.9,72,5,8.7,0.0,0.0,0.0
2023-07-11 05:00:00,21.5,63,3,4.5,0.0,0.0,0.0
2023-07-11 06:00:00,19.5,77,5,6.9,0.0,0.0,0.0
2023-07-11 07:00:00,22.4,75,2,11.2,58.3,0.2,0.36
2023-07-11 08:00:00,24.1,68,7,12.5,196.7,0.68,0.75
2023-07-11 09:00:00,25.1,66,0,15.6,342.7,1.18,1.5
2023-07-11 10:00:00,25.8,63,27,17.4,529.3,1.6,1.5
2023-07-11 11:00:00,26.6,58,42,17.3,640.6,1.6,1.5
2023-07-11 12:00:00,27.2,56,21,16.8,581.2,1.6,1.5
2023-07-11 13:00:00,28.3,53,10,17.1,634.0,1.6,1.5
2023-07-11 14:00:00,28.8,51,2,14.0,696.1,1.6,1.2
2023-07-11 15:00:00,29.1,52,7,15.1,698.8,1.6,1.5
2023-07-11 16:00:00,29.4,51,4,15.6,555.5,1.6,1.5
2023-07-11 17:00:00,28.9,50,0,16.5,447.8,1.57,1.5
2023-07-11 18:00:00,28.4,49,2,15.8,307.2,01.08,1.5
2023-07-11 19:00:00,27.3,50,2,11.7,155.2,0.55,0.51
2023-07-11 20:00:00,26.3,54,14,6.2,34.3,0.12,0.0
2023-07-11 21:00:00,24.7,62,4,3.9,0.0,0.0,0.0
2023-07-11 22:00:00,23.9,65,0,4.7,0.0,0.0,0.0
